,DateTime,players,viewers,event,%chg_players,%chg_viewers,title
134,2015-05-15,970403,0,No,0.05117189488746843,,DOTA 2
135,2015-05-16,967674,0,No,-0.0028122336802338666,,DOTA 2
136,2015-05-17,947464,0,No,-0.020885132802989426,,DOTA 2
137,2015-05-18,855852,0,No,-0.09669180042724579,,DOTA 2
138,2015-05-19,853462,0,No,-0.002792538896912111,,DOTA 2
139,2015-05-20,847976,0,No,-0.00642793703761857,,DOTA 2
140,2015-05-21,888099,0,No,0.0473161976282348,,DOTA 2
141,2015-05-22,923872,0,No,0.04028041918750058,,DOTA 2
142,2015-05-23,923516,0,No,-0.00038533476498914254,,DOTA 2
143,2015-05-24,934059,0,No,0.011416153049865985,,DOTA 2
144,2015-05-25,934021,0,No,-4.0682654950052743e-05,,DOTA 2
145,2015-05-26,903191,0,No,-0.03300782316457551,,DOTA 2
146,2015-05-27,903871,0,No,0.0007528861558629973,,DOTA 2
147,2015-05-28,953994,0,No,0.055453709655470806,,DOTA 2
148,2015-05-29,967041,0,No,0.01367618664268333,,DOTA 2
149,2015-05-30,967028,0,No,-1.3443070149055103e-05,,DOTA 2
150,2015-05-31,948817,0,No,-0.01883192627307584,,DOTA 2
151,2015-06-01,894667,0,No,-0.05707106849898347,,DOTA 2
152,2015-06-02,880873,0,No,-0.015418027042463867,,DOTA 2
153,2015-06-03,881166,0,No,0.0003326245667649719,,DOTA 2
154,2015-06-04,906295,0,No,0.028517895606503307,,DOTA 2
155,2015-06-05,914899,0,No,0.009493597559293576,,DOTA 2
156,2015-06-06,914947,0,No,5.2464807590801854e-05,,DOTA 2
157,2015-06-07,915726,0,No,0.0008514154371783711,,DOTA 2
158,2015-06-08,876602,0,No,-0.0427245704501128,,DOTA 2
159,2015-06-09,870367,0,No,-0.007112691962829154,,DOTA 2
160,2015-06-10,842885,0,No,-0.031575186099656816,,DOTA 2
161,2015-06-11,859840,0,No,0.020115436862679914,,DOTA 2
162,2015-06-12,830005,0,No,-0.03469831596576112,,DOTA 2
163,2015-06-13,839119,0,No,0.010980656743031725,,DOTA 2
164,2015-06-14,845925,0,No,0.008110887728677296,,DOTA 2
165,2015-06-15,777241,0,No,-0.08119395927534945,,DOTA 2
166,2015-06-16,837237,0,No,0.077190987094093,,DOTA 2
167,2015-06-17,828753,0,No,-0.010133331422285452,,DOTA 2
168,2015-06-18,838864,0,No,0.012200257495297073,,DOTA 2
169,2015-06-19,864624,0,No,0.030708195845810415,,DOTA 2
170,2015-06-20,884235,0,No,0.022681535557652843,,DOTA 2
171,2015-06-21,883998,0,No,-0.0002680282956454283,,DOTA 2
172,2015-06-22,839068,0,No,-0.050825906845943125,,DOTA 2
173,2015-06-23,828032,0,No,-0.013152688459099893,,DOTA 2
174,2015-06-24,823427,0,No,-0.005561379270366373,,DOTA 2
175,2015-06-25,810853,0,No,-0.015270327545732654,,DOTA 2
176,2015-06-26,830005,0,No,0.023619570994989125,,DOTA 2
177,2015-06-27,866173,0,No,0.04357564111059564,,DOTA 2
178,2015-06-28,855257,0,No,-0.012602563229285657,,DOTA 2
179,2015-06-29,811830,0,No,-0.050776550206546145,,DOTA 2
180,2015-06-30,805421,0,No,-0.007894509934345817,,DOTA 2
181,2015-07-01,785837,0,No,-0.024315233896310073,,DOTA 2
182,2015-07-02,800840,0,No,0.01909174548920456,,DOTA 2
183,2015-07-03,828386,0,No,0.03439638379701315,,DOTA 2
184,2015-07-04,852530,0,No,0.02914583298124307,,DOTA 2
185,2015-07-05,840577,0,No,-0.014020620975214948,,DOTA 2
186,2015-07-06,809017,0,No,-0.03754563829369584,,DOTA 2
187,2015-07-07,783335,0,No,-0.03174469757743037,,DOTA 2
188,2015-07-08,808039,0,No,0.03153695417669322,,DOTA 2
189,2015-07-09,804106,0,No,-0.004867339323968323,,DOTA 2
190,2015-07-10,799339,0,No,-0.0059283228828039825,,DOTA 2
191,2015-07-11,858730,0,No,0.0743001404910808,,DOTA 2
192,2015-07-12,857639,0,No,-0.0012704808263365175,,DOTA 2
193,2015-07-13,816802,0,No,-0.047615605167209085,,DOTA 2
194,2015-07-14,814225,0,No,-0.003154987377601892,,DOTA 2
195,2015-07-15,785121,0,No,-0.035744419540053474,,DOTA 2
196,2015-07-16,788378,0,No,0.004148405150288914,,DOTA 2
197,2015-07-17,764390,54466,No,-0.030427028658841282,inf,DOTA 2
198,2015-07-18,792754,66743,No,0.03710671254202702,0.22540667572430517,DOTA 2
199,2015-07-19,807297,61229,No,0.0183449090133887,-0.08261540536086176,DOTA 2
200,2015-07-20,783793,57261,No,-0.029114439914926016,-0.06480589263257608,DOTA 2
201,2015-07-21,756317,47972,No,-0.035055174006402234,-0.16222210579626617,DOTA 2
