"DateTime","Players","Players Trend","Twitch Viewers"
"2020-12-30 08:00:00",83018,89256.82005010458,163
"2020-12-30 08:10:00",82653,89239.66023840982,160
"2020-12-30 08:20:00",82265,89218.97201574713,171
"2020-12-30 08:30:00",81994,89198.66419584845,176
"2020-12-30 08:40:00",81718,89177.67253744078,171
"2020-12-30 08:50:00",81689,89158.3958333333,158
"2020-12-30 09:00:00",81637,89138.20516738242,152
"2020-12-30 09:10:00",82086,89117.78633961016,135
"2020-12-30 09:20:00",82580,89093.98131400725,162
"2020-12-30 09:30:00",82514,89069.99474176853,185
"2020-12-30 09:40:00",82780,89046.26635282458,178
"2020-12-30 09:50:00",83007,89023.88016875894,169
"2020-12-30 10:00:00",82945,89004.71127216164,83
"2020-12-30 10:10:00",82771,88986.78276070916,96
"2020-12-30 10:20:00",82410,88977.89198601473,111
"2020-12-30 10:30:00",82537,88981.28915455345,118
"2020-12-30 10:40:00",82359,88987.60725002752,122
"2020-12-30 10:50:00",83096,88998.32951354477,122
"2020-12-30 11:00:00",83372,89010.67382446866,148
"2020-12-30 11:10:00",83496,89023.23727425394,152
"2020-12-30 11:20:00",84187,89036.60579781962,138
"2020-12-30 11:30:00",84425,89045.67303986345,138
"2020-12-30 11:40:00",79305,89046.56645743862,124
"2020-12-30 11:50:00",79730,89077.21838178615,112
"2020-12-30 12:00:00",79934,89107.31853595417,108
"2020-12-30 12:10:00",80389,89135.65018307455,114
"2020-12-30 12:20:00",80505,89162.88851723378,118
"2020-12-30 12:30:00",80877,89192.0189544103,108
"2020-12-30 12:40:00",81523,89216.01446013652,127
"2020-12-30 12:50:00",81992,89246.38009993391,137
"2020-12-30 13:00:00",82048,89276.96909068382,138
"2020-12-30 13:10:00",82330,89305.91570999887,155
"2020-12-30 13:20:00",82910,89336.0560373307,156
"2020-12-30 13:30:00",83549,89369.06851530669,156
"2020-12-30 13:40:00",84332,89404.1986496531,171
"2020-12-30 13:50:00",85187,89445.44268252394,148
"2020-12-30 14:00:00",85273,89488.3842913776,187
"2020-12-30 14:10:00",85377,89533.30605797819,185
"2020-12-30 14:20:00",85891,89579.55737941856,189
"2020-12-30 14:30:00",86013,89624.55995347428,229
"2020-12-30 14:40:00",86060,89670.92010791763,251
"2020-12-30 14:50:00",85885,89720.18022519545,242
"2020-12-30 15:00:00",85975,89773.38404360754,233
"2020-12-30 15:10:00",85930,89830.99732958924,251
"2020-12-30 15:20:00",86097,89894.57179826008,283
"2020-12-30 15:30:00",86619,89960.8386190948,302
